event_id,action,plan_time_s,status,session_script_time_us,skip_script_time_us,clock_iso,clock_epoch_ms
E01,"开始采集",0,triggered,67531,,"2026-09-11T13:37:27.926+08:00",1789105047926
E02,"开充电小门",40,triggered,40040689,,"2026-09-11T13:38:07.899+08:00",1789105087899
E03,"插枪",60,triggered,60037427,,"2026-09-11T13:38:27.895+08:00",1789105107895
E04,"记录连接状态",100,triggered,100061487,,"2026-09-11T13:39:07.919+08:00",1789105147919
E05,"扫码启动",160,triggered,160021915,,"2026-09-11T13:40:07.880+08:00",1789105207880
E06,"记录充电数据1",240,triggered,240096062,,"2026-09-11T13:41:27.954+08:00",1789105287954
E07,"记录充电数据2",320,triggered,320073024,,"2026-09-11T13:42:47.931+08:00",1789105367931
E08,"停止充电",380,triggered,380101571,,"2026-09-11T13:43:47.960+08:00",1789105427960
E09,"解锁充电枪",440,triggered,440055300,,"2026-09-11T13:44:47.913+08:00",1789105487913
E10,"拔枪",470,triggered,470103160,,"2026-09-11T13:45:17.961+08:00",1789105517961
E11,"结束采集",540,triggered,540097573,,"2026-09-11T13:46:27.956+08:00",1789105587956
